43.1062,42.7076,42.3089,41.9103,41.5117,41.113,40.7144,40.3158,39.9171,39.5185,39.1199,38.7212,38.3226,37.9239,37.5253,37.1267,36.728,36.3294,35.9308,35.5321,35.1335,34.7349,34.3362,33.9376,33.539,33.1403,32.7417,32.343
30.3499,29.9512,29.5526,29.154,28.7553,28.3567,27.9581,27.5594,27.1608,26.7621,26.3635,25.9649,25.5662,25.1676,24.769,24.3703,23.9717,23.5731,23.1744,22.7758,22.3772,21.9785,21.5799,21.1812,20.7826,20.384,19.9853,19.5867
17.5935,17.1949,16.7963,16.3976,15.999,15.6004,15.2017,14.8031,14.4044,14.0058,13.6072,13.2085,12.8099,12.4113,12.0126,11.614,11.2154,10.8167,10.4181,10.0195,9.62082,9.22218,8.82355,8.42491,8.02627,7.62764,7.229,6.83037
4.83719,4.43855,4.03992,3.64128,3.24265,2.84401,2.44538,2.04674,1.6481,1.24947,0.850834,0.452198,0.0535623,-0.345073,-0.743709,-1.14234,-1.54098,-1.93962,-2.33825,-2.73689,-3.13552,-3.53416,-3.93279,-4.33143,-4.73006,-5.1287,-5.52734,-5.92597
-7.91915,-8.31779,-8.71642,-9.11506,-9.51369,-9.91233,-10.311,-10.7096,-11.1082,-11.5069,-11.9055,-12.3041,-12.7028,-13.1014,-13.5,-13.8987,-14.2973,-14.696,-15.0946,-15.4932,-15.8919,-16.2905,-16.6891,-17.0878,-17.4864,-17.885,-18.2837,-18.6823
-20.6755,-21.0741,-21.4728,-21.8714,-22.27,-22.6687,-23.0673,-23.4659,-23.8646,-24.2632,-24.6618,-25.0605,-25.4591,-25.8578,-26.2564,-26.655,-27.0537,-27.4523,-27.8509,-28.2496,-28.6482,-29.0468,-29.4455,-29.8441,-30.2427,-30.6414,-31.04,-31.4387
-33.4318,-33.8305,-34.2291,-34.6277,-35.0264,-35.425,-35.8236,-36.2223,-36.6209,-37.0195,-37.4182,-37.8168,-38.2155,-38.6141,-39.0127,-39.4114,-39.81,-40.2086,-40.6073,-41.0059,-41.4045,-41.8032,-42.2018,-42.6004,-42.9991,-43.3977,-43.7964,-44.195
-46.1882,-46.5868,-46.9854,-47.3841,-47.7827,-48.1813,-48.58,-48.9786,-49.3773,-49.7759,-50.1745,-50.5732,-50.9718,-51.3704,-51.7691,-52.1677,-52.5663,-52.965,-53.3636,-53.7622,-54.1609,-54.5595,-54.9582,-55.3568,-55.7554,-56.1541,-56.5527,-56.9513
-58.9445,-59.3431,-59.7418,-60.1404,-60.539,-60.9377,-61.3363,-61.735,-62.1336,-62.5322,-62.9309,-63.3295,-63.7281,-64.1268,-64.5254,-64.924,-65.3227,-65.7213,-66.1199,-66.5186,-66.9172,-67.3159,-67.7145,-68.1131,-68.5118,-68.9104,-69.309,-69.7077
-71.7008,-72.0995,-72.4981,-72.8968,-73.2954,-73.694,-74.0927,-74.4913,-74.8899,-75.2886,-75.6872,-76.0858,-76.4845,-76.8831,-77.2817,-77.6804,-78.079,-78.4777,-78.8763,-79.2749,-79.6736,-80.0722,-80.4708,-80.8695,-81.2681,-81.6667,-82.0654,-82.464
-84.4572,-84.8558,-85.2545,-85.6531,-86.0517,-86.4504,-86.849,-87.2476,-87.6463,-88.0449,-88.4435,-88.8422,-89.2408,-89.6394,-90.0381,-90.4367,-90.8354,-91.234,-91.6326,-92.0313,-92.4299,-92.8285,-93.2272,-93.6258,-94.0244,-94.4231,-94.8217,-95.2203
-97.2135,-97.6122,-98.0108,-98.4094,-98.8081,-99.2067,-99.6053,-100.004,-100.403,-100.801,-101.2,-101.599,-101.997,-102.396,-102.794,-103.193,-103.592,-103.99,-104.389,-104.788,-105.186,-105.585,-105.984,-106.382,-106.781,-107.179,-107.578,-107.977
-109.97,-110.369,-110.767,-111.166,-111.564,-111.963,-112.362,-112.76,-113.159,-113.558,-113.956,-114.355,-114.753,-115.152,-115.551,-115.949,-116.348,-116.747,-117.145,-117.544,-117.943,-118.341,-118.74,-119.138,-119.537,-119.936,-120.334,-120.733
-122.726,-123.125,-123.523,-123.922,-124.321,-124.719,-125.118,-125.517,-125.915,-126.314,-126.713,-127.111,-127.51,-127.908,-128.307,-128.706,-129.104,-129.503,-129.902,-130.3,-130.699,-131.098,-131.496,-131.895,-132.293,-132.692,-133.091,-133.489
-135.483,-135.881,-136.28,-136.678,-137.077,-137.476,-137.874,-138.273,-138.672,-139.07,-139.469,-139.868,-140.266,-140.665,-141.063,-141.462,-141.861,-142.259,-142.658,-143.057,-143.455,-143.854,-144.253,-144.651,-145.05,-145.448,-145.847,-146.246
-148.239,-148.638,-149.036,-149.435,-149.833,-150.232,-150.631,-151.029,-151.428,-151.827,-152.225,-152.624,-153.023,-153.421,-153.82,-154.218,-154.617,-155.016,-155.414,-155.813,-156.212,-156.61,-157.009,-157.408,-157.806,-158.205,-158.603,-159.002
-160.995,-161.394,-161.792,-162.191,-162.59,-162.988,-163.387,-163.786,-164.184,-164.583,-164.982,-165.38,-165.779,-166.177,-166.576,-166.975,-167.373,-167.772,-168.171,-168.569,-168.968,-169.367,-169.765,-170.164,-170.562,-170.961,-171.36,-171.758
